,K,D,D,D
5fdcfeacaffbb17464342433,1_frenk#21985,AAECAZICAv0C5gUO/gG5lAPinwPbpQPlugPougPsugPuugPvugObzgPw1AOJ4AOK4AOM5AMA,AAECAea5AwaKB727A4TDA9TIA/7RA9DdAwyHugPXuwPgvgPpvgPHxgPZxgPVyAPW0QPO0gPd0wPH3QPz4wMA,AAECAaoIApzOA6jeAw7uBsaZA9SlA9ipA7atA+iwA4KxA9u4A924A5XNA/DUA6beA6neA6reAwA=
5fdcfeacaffbb17464342433,1_andrew19#11635,### remove 3-4 Warlock# Class: Warlock# Format: Standard# Year of the Phoenix## 2x (1) Spirit Jailer# 2x (2) Imprisoned Vilefiend# 2x (2) Soul Shear# 2x (3) Dark Skies# 2x (3) Free Admission# 2x (3) Hysteria# 2x (3) Man'ari Mosher# 2x (4) Cascading Disaster# 2x (4) Fire Breather# 1x (5) Envoy Rustwix# 2x (5) Void Drinker# 2x (6) Aranasi Broodmother# 1x (6) Tickatus# 1x (7) Soulciologist Malicia# 2x (8) Enhanced Dreadlord# 2x (8) Twisting Nether# 1x (10) Y'Shaarj the Defiler# AAECAfqUAwTP0gP83gPO4QP24wMN2wbalgPrrAPEuQP0uwO4zgPM0gPN0gOS3gOT3gOV3gPG3gP44wMA# # To use this deck copy it to your clipboard and create a new deck in Hearthstone,### Custom Rogue# Class: Rogue# Format: Standard# Year of the Phoenix## 2x (0) Backstab# 1x (0) Preparation# 2x (1) Nitroboost Poison# 2x (1) Secret Passage# 2x (1) Southsea Deckhand# 2x (1) Spymistress# 2x (1) Worgen Infiltrator# 2x (2) Cold Blood# 2x (2) Crabrider# 2x (2) Eviscerate# 1x (2) Foxy Fraud# 2x (2) Sneaky Delinquent# 2x (2) Swindle# 2x (3) Greyheart Sage# 2x (3) Hooked Scimitar# 2x (5) Cutting Class# AAECAd75AwKGCd/dAw60AYwC1AWIB+IH/6UDubgDz7kDqssDitQD99QD590DgeQDkeQDAA==# # To use this deck copy it to your clipboard and create a new deck in Hearthstone,AAECAa0GBpcC0wqZqQOOsQPIvgP70QMMgbEDmLYDk7oDm7oDr7oD3swD184D4t4D+98DyuED+OMD++MDAA==
5fdcfeacaffbb17464342433,1_Appa#1680,### OTK# Class: Demon Hunter# Format: Standard# Year of the Phoenix## 2x (1) Double Jump# 1x (1) Ethereal Augmerchant# 2x (1) Felosophy# 2x (1) Felscream Blast# 2x (1) Illidari Studies# 2x (1) Twin Slice# 1x (2) Acidic Swamp Ooze# 1x (2) Bloodmage Thalnos# 2x (2) Chaos Strike# 2x (2) Immolation Aura# 2x (2) Mo'arg Artificer# 2x (2) Spectral Sight# 2x (3) Aldrachi Warblades# 2x (3) Eye Beam# 1x (4) Il'gynoth# 1x (4) Raging Felscreamer# 1x (5) Chaos Nova# 2x (6) Skull of Gul'dan# AAECAea5AwbtBYoHvbsD4L4D98MD0N0DDIe6A9e7A+C8A+m+A8fGA9nGA9XIA9bRA87SA93TA8fdA/PjAwA=# # To use this deck copy it to your clipboard and create a new deck in Hearthstone,### Guardian# Class: Druid# Format: Standard# Year of the Phoenix## 2x (0) Innervate# 2x (0) Lightning Bloom# 1x (1) Animated Broomstick# 2x (1) Crystal Power# 2x (1) Nature Studies# 2x (2) Breath of Dreams# 2x (3) Dreaming Drake# 2x (4) Overgrowth# 2x (5) Lake Thresher# 1x (5) Teacher's Pet# 2x (5) Twilight Runner# 2x (6) Emerald Explorer# 1x (7) Evasive Drakonid# 1x (7) Overflow# 2x (8) Guardian Animals# 1x (9) Alexstrasza# 1x (9) Ysera Unleashed# 2x (10) Survival of the Fittest# AAECAZICBsUE26UDl60D9q0Dks0Dlc0DDP4BuZQD/a0DjK4D6LoDm84DutADvNADk9ED3tED8NQDi+QDAA==# # To use this deck copy it to your clipboard and create a new deck in Hearthstone,### Enrage # Class: Warrior# Format: Standard# Year of the Phoenix## 2x (0) Inner Rage# 2x (1) Nitroboost Poison# 2x (1) Risky Skipper# 2x (1) Shield of Honor# 2x (1) Sky Raider# 2x (2) Armorsmith# 2x (2) Battle Rage# 1x (2) Corsair Cache# 1x (3) Ancharrr# 2x (3) Bloodsworn Mercenary# 1x (3) Bomb Wrangler# 1x (3) Lord Barov# 2x (3) Warmaul Challenger# 1x (4) Kor'kron Elite# 1x (4) Reaper's Scythe# 2x (4) Sword Eater# 2x (5) Cutting Class# 2x (7) Bloodboil Brute# AAECAQcGHN6tA6u2A8C5A+PMA5PQAwwWkAPUBNypA92tA6S2A7u5A5y7A5HQA/fUA7XeA4HkAwA=# # To use this deck copy it to your clipboard and create a new deck in Hearthstone
5fdcfeacaffbb17464342433,1_WoT#1776,### MetaStats - Highlander H# Clase: Cazador# Formato: Estándar# Año del fénix## 1x (1) Aumencader guardián# 1x (1) Compañero demoníaco# 1x (1) Francotirador enano# 1x (1) Ganadora misteriosa# 1x (1) Guardiana del secreto# 1x (1) Guía de excursiones# 1x (1) Infestación adorable# 1x (1) Iniciado intrépido# 1x (1) Maga de batalla llameante# 1x (1) Wolpertinger# 1x (2) Abran las jaulas# 1x (2) Acechador etéreo# 1x (2) Camorrista Mascahuesos# 1x (2) El Gran Zephrys# 1x (2) Fauces viles encarcelado# 1x (2) Horror retorcido# 1x (2) Ingenio del carroñero# 1x (2) Tácticas de manada# 1x (2) Tiradora certera de fuego vil# 1x (2) Trampa con culebras# 1x (2) Trampa congelante# 1x (3) Arco de cuerno de águila# 1x (3) Compañero animal# 1x (3) Lectora ávida# 1x (3) Matar# 1x (3) Pasajero de perfil bajo# 1x (3) Suelten a los canes# 1x (3) Zoo interactivo# 1x (4) Azote de dragones# 1x (8) Domadinos Brann# AAECAR8engGoArUDxwOHBNsJ/gz8owOmpQP5rgP7rwP8rwOHsAOiuQOkuQP/ugPXvgPevgPczAObzQOizgOC0APG0QO50gPo4QPy4QPz4QOE4gPK4wOQ5AMAAA==# # Para usar este mazo cópialo en tu portapapeles y crea un mazo nuevo en Hearthstone,### Cazador de demonios2# Clase: Cazador de demonios# Formato: Estándar# Año del fénix## 1x (1) Aumencader etéreo# 2x (1) Corte doble# 2x (1) Estudios Illidari# 2x (1) Explosión gritovil# 1x (1) Salto doble# 1x (1) Vilosofía# 2x (2) Artificiero Mo'arg# 2x (2) Aura de inmolación# 1x (2) El Gran Zephrys# 2x (2) Golpe de Caos# 1x (2) Moco del pantano ácido# 2x (2) Visión espectral# 1x (3) Acrobacia# 1x (3) Danza de hojas# 2x (3) Haz ocular# 2x (3) Hojas de guerra Aldrachi# 1x (3) Rajar alma# 1x (4) Gritovil furiosa# 1x (4) Il'gynoth# 2x (6) Calavera de Gul'dan# AAECAea5AwqKB/yjA727A+C+A4TDA/zIA9bRA87SA9DdA9neAwqHugPXuwPgvAPpvgPHxgPZxgPVyAPd0wPH3QPz4wMA# # Para usar este mazo cópialo en tu portapapeles y crea un mazo nuevo en Hearthstone,### Sacerdote personalizado# Clase: Sacerdote# Formato: Estándar# Año del fénix## 1x (0) Levantamuertos # 1x (1) Escoba animada# 1x (1) Estudios de dracología# 1x (1) Onda de apatía# 1x (1) Punición sagrada# 1x (1) Renovar# 1x (2) Artificiero Mo'arg# 1x (2) El Gran Zephrys# 1x (2) Fabricante de varitas# 1x (2) Palabra de las sombras: Muerte# 1x (2) Penitencia# 1x (2) Perspicacia# 1x (2) Piromántico salvaje# 1x (2) Sustracción de intelecto# 1x (2) Tejevelos Sethekk# 1x (3) Aliento del Infinito# 1x (3) Apoteosis# 1x (3) Canalla vulpera# 1x (3) Histeria# 1x (3) Quiromancia# 1x (3) Tejesangre nazmani# 1x (4) Acólito de la cábala# 1x (4) Nova sagrada# 1x (5) Hechicera de cobalto# 1x (5) Kóbold Manolarga# 1x (7) Espejo de almas# 1x (7) Galakrond el Innombrable# 1x (7) Siamat# 1x (9) Plaga de la muerte# 1x (9) Reina de dragones Alexstrasza# AAECAa0GHh6XAskG9gfTCqWhA/yjA4SnA5mpA5+pA/KsA4GxA4ixA5GxA5O6A5u6A6+6A8i+A+m+A8jAA97MA5XNA8vNA9fOA+PRA/7RA+LeA/vfA8rhA/jjAwAA# # Para usar este mazo cópialo en tu portapapeles y crea un mazo nuevo en Hearthstone
5fdcfeacaffbb17464342433,1_kaixa#11172,### konnt# クラス: ウォリアー# フォーマット: スタンダード# フェニックス年## 2x (1) シールドスラム# 1x (1) 結魂のアッシュタン# 2x (1) 扇動する船頭# 2x (2) 鎧職人# 2x (2) 狂瀾怒濤# 1x (3) アズィノスの防塁# 1x (3) イカリ# 2x (3) シールドブロック# 1x (3) ロード・バロフ# 2x (3) 悪党同盟の補給係# 2x (3) 血盟の傭兵# 2x (3) 魔刃嵐# 2x (4) 剣食い男# 1x (4) 刃拳のカーガス# 1x (5) コボルトの棒ドロ# 2x (5) 斧刀講# 2x (5) 乱闘# 1x (7) サイラス・ダークムーン# 1x (9) ラトルゴア# AAECAQcI3q0DiLEDvrkD474D+cIDk9ADq9QDyOEDC0uQA6IE1AT/B9ypA9mtA6S2A7i5A/fUA7XeAwA=# # このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ,### ctun# クラス: プリースト# フォーマット: スタンダード# フェニックス年## 1x (0) 禁じられし言葉# 2x (1) ドラゴン学の予習# 2x (1) 再起# 2x (1) 無気力の波# 1x (2) 酸性沼ウーズ# 2x (2) 思念奪取# 2x (2) 洞察# 2x (2) 贖罪# 2x (3) ヒステリー# 2x (3) 手相占い# 1x (3) 精神与奪者イルシア# 2x (3) 無限竜の息吹# 2x (4) ホーリーノヴァ# 2x (5) 時間断絶# 1x (7) 魂の鏡# 1x (7) 名状しがたきガラクロンド# 2x (9) 死の災厄# 1x (10) 粉砕されしクトゥーン# AAECAZ/HAgaKB5ibA8i+A8jAA/vRA7/gAwweyQaZqQOfqQPyrAPNrwOTugPezAPLzQPi3gP73wP44wMA# # このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ,### 秘策# クラス: ローグ# フォーマット: スタンダード# フェニックス年## 2x (0) 影隠れ# 2x (0) 死角からの一刺し# 1x (0) 段取り# 2x (1) ファラオの愛猫# 2x (1) ワンド泥棒# 1x (1) 景品横取り野郎# 2x (1) 脳天直撃ガール# 2x (1) 秘密の通路# 2x (2) カンニング# 2x (2) ペテン# 1x (2) 影宝石商ハナー# 2x (2) 汚い手# 2x (2) 狐の騙し屋# 2x (3) クエスト中の冒険者# 2x (3) 悪党同盟の悪漢# 1x (5) ジャンディス・バロフ# 1x (5) 千鍵守護者アイボリー# 1x (6) フリック・スカイシヴ# AAECAaIHBoYJwa4D+8QD2dED890DhOQDDLQB7QKXBo+XA/WnA865A9C5A6rLA6TRA+XTA9/dA+fdAwA=# # このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ
5fdcfeacaffbb17464342433,1_Pegasus#1273,### Weapon Rogue# Class: Rogue# Format: Standard# Year of the Phoenix## 2x (0) Backstab# 2x (1) Deadly Poison# 2x (1) Nitroboost Poison# 2x (1) Secret Passage# 2x (1) Spymistress# 2x (1) Worgen Infiltrator# 2x (2) Eviscerate# 2x (2) Sneaky Delinquent# 2x (3) Greyheart Sage# 2x (3) Self-Sharpening Sword# 2x (3) Vulpera Toxinblade# 2x (4) Dread Corsair# 1x (4) Infiltrator Lilian# 1x (4) Steeldancer# 2x (5) Cutting Class# 1x (5) Doctor Krastinov# 1x (5) Jandice Barov# AAECAaIHBIvQA9nRA6rSA6vSAw20AcsD7gaIB+IHubgDz7kDqssDiNADitQD1dQD99QDgeQDAA==# # To use this deck copy it to your clipboard and create a new deck in Hearthstone,### Pure Paladin - BF# Class: Paladin# Format: Standard# Year of the Phoenix## 2x (0) First Day of School# 2x (1) Aldor Attendant# 2x (2) Argent Braggart# 2x (2) Hand of A'dal# 2x (2) Libram of Wisdom# 2x (3) Goody Two-Shields# 1x (3) Lord Barov# 2x (4) Consecration# 1x (4) High Abbess Alura# 2x (4) Lightforged Zealot# 2x (5) Aldor Truthseeker# 2x (5) Blessing of Authority# 2x (5) Libram of Justice# 2x (6) Devout Pupil# 1x (7) Lady Liadrin# 1x (7) Lightforged Crusader# 1x (8) High Exarch Yrel# 1x (9) Libram of Hope# AAECAZ8FBpuuA+q5A4TBA5PQA8PRA4jeAwzcA5yuA8q4A/24A+u5A+y5A8rBA57NA7/RA8DRA8rRA+DRAwA=# # To use this deck copy it to your clipboard and create a new deck in Hearthstone,### Face Hunter - BF# Class: Hunter# Format: Standard# Year of the Phoenix## 2x (1) Adorable Infestation# 2x (1) Dwarven Sharpshooter# 2x (1) Intrepid Initiate# 2x (1) Tour Guide# 2x (1) Toxic Reinforcements# 2x (1) Wolpertinger# 1x (2) Explosive Trap# 1x (2) Freezing Trap# 2x (2) Imprisoned Felmaw# 2x (2) Kobold Sandtrooper# 2x (2) Phase Stalker# 1x (2) Pressure Plate# 2x (2) Scavenger's Ingenuity# 2x (3) Eaglehorn Bow# 2x (3) Kill Command# 2x (3) Voracious Reader# 1x (4) Dragonbane# AAECAR8EhwTJBJ+lA4ewAw2oAv4M86cD+68D/K8DhbADorkD/7oD3MwDm80Dos4DxtEDudIDAA==# # To use this deck copy it to your clipboard and create a new deck in Hearthstone
5fdcfeacaffbb17464342433,1_jularanja#1105,### Whirlkick Rogue# Classe: Ladino# Formato: Padrão# Ano da Fênix## 2x (0) Passo Furtivo# 2x (0) Preparação# 2x (0) Punhalada pelas Costas# 1x (1) Congelamento Cerebral# 2x (1) Espoliador de Prêmios# 2x (1) Gato do Faraó# 2x (1) Ladra de Varinha# 2x (1) Passagem Secreta# 2x (2) Eviscerar# 2x (2) Falcatrua# 1x (2) Gosma Ácida do Pântano# 2x (2) Mestre da Giratória# 2x (2) Raposinho Trambiqueiro# 2x (3) Aventureiro em Missão# 2x (3) Mandrião da MAL# 1x (4) Edwin VanCleef# 1x (5) Janice Barov# AAECAaIHBLICigfHzgPZ0QMNtAHtApcGiAeGCY+XA/uiA/WnA6rLA6TRA9/dA+fdA/PdAwA=# # Para usar este deck copie para a área de transferência e crie um novo deck de Hearthstone,### Aggro Demon Hunter# Classe: Caçador de Demônios# Formato: Padrão# Ano da Fênix## 2x (1) Ajudante Motivada# 2x (1) Aprimorante Guardião# 2x (1) Carnífice de Batalha# 2x (1) Exaurir Mana# 2x (1) Iniciado Intrépido# 2x (1) Maga de Batalha Fulgurante# 2x (1) Mascote Demoníaco# 2x (1) Talho Duplo# 2x (2) Asumbra# 2x (2) Brigão Mascaosso# 2x (2) Horror Meneante# 2x (3) Acrobacia# 2x (3) Leitora Voraz# 2x (3) Mordida do Senhor do Medo# 2x (3) Perna de Pau# AAECAea5AwAP/acD+a4Di7oD4LwD174D3r4D98gD8skD3MwDgtADxtEDzd0Dz90D2d4DyuMDAA==# # Para usar este deck copie para a área de transferência e crie um novo deck de Hearthstone,### Enrage Warrior# Classe: Guerreiro# Formato: Padrão# Ano da Fênix## 2x (0) Raiva Interior# 2x (1) Capitã Temerária# 2x (1) Escudo da Honra# 2x (1) Saqueador dos Ares# 2x (2) Ferreira de Armaduras# 2x (2) Ira de Batalha# 1x (2) Tesouro de Corsário# 1x (3) Âncora# 2x (3) Capataz Jurassangue# 2x (3) Desafiante Malho de Guerra# 1x (3) Lorde Barov# 2x (3) Manda-Bomba# 1x (4) Elite Kor'kron# 2x (4) Engolidor de Espada# 1x (4) Foice do Ceifador# 2x (5) Cutelaria# 2x (7) Brutamontes Fervessangue# 1x (8) Grommash Grito Infernal# AAECAQcGHNIC3q0DwLkD48wDk9ADDBaQA9QE3KkD3a0DpLYDq7YDu7kDnLsDkdAD99QDtd4DAA==# # Para usar este deck copie para a área de transferência e crie um novo deck de Hearthstone
5fdcfeacaffbb17464342433,1_조치#3550,### 나만의 사제 덱 # Class: Priest# Format: Standard# Year of the Phoenix## 1x (0) Raise Dead# 1x (1) Animated Broomstick# 1x (1) Draconic Studies# 1x (1) Holy Smite# 1x (1) Renew# 1x (1) Wave of Apathy# 1x (2) Insight# 1x (2) Penance# 1x (2) Sethekk Veilweaver# 1x (2) Shadow Word: Death# 1x (2) Thoughtsteal# 1x (2) Wandmaker# 1x (2) Wild Pyromancer# 1x (2) Zephrys the Great# 1x (3) Apotheosis# 1x (3) Breath of the Infinite# 1x (3) Hysteria# 1x (3) Madame Lazul# 1x (3) Mindflayer Kaahrj# 1x (3) Mindrender Illucia# 1x (3) Palm Reading# 1x (4) Cabal Acolyte# 1x (4) Holy Nova# 1x (5) Cobalt Spellkin# 1x (5) Kobold Stickyfinger# 1x (7) Galakrond the Unspeakable# 1x (7) Soul Mirror# 1x (8) Murozond the Infinite# 1x (9) Dragonqueen Alexstrasza# 1x (9) Plague of Death#AAECAa0GHh6XAskG9gfTCuubA/yjA5mpA5+pA/KsA4WtA4GxA4ixA46xA5GxA5O6A5u6A6+6A8i+A8jAA97MA5XNA8vNA9fOA+PRA/vRA/7RA+LeA/vfA/jjAwAA## To use this deck copy it to your clipboard and create a new deck in Hearthstone# Generated by HDT - https://hsreplay.net,AAECAaPLAwYc3q0DwLkD48wDk9ADgeQDDBaQA9QE3KkD3a0DpLYDq7YDu7kDnLsDkdAD99QDtd4DAA==,### 나만의 도적 덱 # Class: Rogue# Format: Standard# Year of the Phoenix## 2x (0) Backstab# 1x (0) Preparation# 2x (0) Shadowstep# 2x (1) Blackjack Stunner# 2x (1) Pharaoh Cat# 1x (1) Prize Plunderer# 2x (1) Secret Passage# 2x (1) Wand Thief# 2x (2) Dirty Tricks# 2x (2) Foxy Fraud# 2x (2) Plagiarize# 1x (2) Shadowjeweler Hanar# 1x (2) Shenanigans# 2x (2) Swindle# 2x (3) EVIL Miscreant# 1x (3) Questing Adventurer# 1x (5) Jandice Barov# 1x (5) Keywarden Ivory# 1x (6) Flik Skyshiv#AAECAaIHCJcGhgnBrgP7xAPZ0QPz3QOD5AOE5AMLtAHtAo+XA/WnA865A9C5A6rLA6TRA+XTA9/dA+fdAwA=## To use this deck copy it to your clipboard and create a new deck in Hearthstone# Generated by HDT - https://hsreplay.net
5fdcfeacaffbb17464342433,1_Market#11726,### 1# クラス: プリースト# フォーマット: スタンダード# フェニックス年## 2x (0) 死者蘇生 # 2x (1) ドラゴン学の予習# 2x (1) 再起# 2x (1) 鱗の聖職者# 2x (2) セセックのヴェールウィーヴァー# 2x (2) ワンド職人# 1x (2) 酸性沼ウーズ# 2x (2) 熱狂する火霊術師# 1x (2) 密言・死# 1x (3) ヒステリー# 2x (3) 手相占い# 2x (3) 神格化# 1x (3) 精神与奪者イルシア# 2x (3) 無限竜の息吹# 1x (4) トワイライト・ドレイク# 2x (5) コバルト・スペルキン# 1x (7) 魂の鏡# 1x (7) 名状しがたきガラクロンド# 1x (8) 無限のムロゾンド# AAECAZ/HAgiKB40I0wqOsQPIvgPIwAP70QP44wML9gfyrAOBsQOYtgOTugObugOvugPezAPXzgP+0QPi3gMA# # このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ,### 2# クラス: ウォリアー# フォーマット: スタンダード# フェニックス年## 2x (1) シールドスラム# 2x (1) 扇動する船頭# 2x (2) 鎧職人# 2x (2) 狂瀾怒濤# 2x (2) 地雷原# 1x (3) アズィノスの防塁# 1x (3) イカリ# 2x (3) シールドブロック# 1x (3) ロード・バロフ# 2x (3) 悪党同盟の補給係# 2x (3) 血盟の傭兵# 2x (3) 魔刃嵐# 2x (4) 剣食い男# 1x (4) 刃拳のカーガス# 2x (5) 斧刀講# 2x (5) 乱闘# 1x (8) 狂乱のアスペクト・デスウィング# 1x (9) 文書管理官エリシアーナ# AAECAQcGhp0D3q0D360DvrkD+cIDk9ADDEuQA6IE1AT/B9ypA9mtA6S2A7i5A/fUA7XeA7beAwA=# # このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ,### 3# クラス: パラディン# フォーマット: スタンダード# フェニックス年## 2x (0) 初登校の日# 2x (1) アルダーの従者# 2x (1) ペン投げ野郎# 2x (1) 空飛ぶほうき# 1x (1) 智恵の祝福# 2x (2) アージェントのハッタリ屋# 2x (2) アダールの手# 2x (2) 智恵の聖典# 2x (3) サルヘトの群れ# 1x (3) ロード・バロフ# 1x (4) 大修道院長アルーラ# 2x (5) アルダーの真理探究者# 2x (5) 正義の聖典# 1x (6) ナールの真槌# 2x (6) 敬虔な生徒# 1x (7) サイラス・ダークムーン# 1x (7) レディ・リアドリン# 2x (9) 希望の聖典# AAECAYsWBt0KhMEDk9ADw9EDhd4DyOEDDJWmA8q4A/24A+q5A+u5A+y5A8rBA5XNA57NA5/NA8DRA+DRAwA=# # このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ
5fdcfeacaffbb17464342433,1_BEE#41308,### 自訂盜賊3# 職業：盜賊# 規則：標準# 鳳凰年## 2x (0) 暗影閃現# 1x (0) 背刺# 1x (1) 狼人滲透者# 2x (1) 秘密通道# 1x (1) 邪惡攻擊# 2x (1) 間諜首領# 2x (1) 魔杖小偷# 1x (2) 冷血# 2x (2) 剔骨# 2x (2) 悶棍# 2x (2) 江狐騙子# 1x (2) 灰舌屠殺者# 2x (2) 詐騙# 2x (2) 鬼祟的不良少女# 2x (3) 倒鉤彎刀# 1x (3) 灰色之心賢者# 2x (3) 狼騎兵# 2x (3) 邪惡陣線無賴# AAECAaIHBrQBjALGBeIHurgDz7kDDKEC7QLNA4gHj5cD/6UDubgDqssDpNEDitQD390D590DAA==# # 想要使用這副套牌的話，先複製它，然後在爐石戰記中建立一副新的套牌,### 自訂德魯伊2# 職業：德魯伊# 規則：標準# 鳳凰年## 1x (0) 啟動# 1x (0) 閃電之花# 2x (1) 水晶之力# 1x (1) 活動掃帚# 2x (1) 自然學研讀# 1x (2) 月蝕# 1x (2) 體重比一比# 2x (3) 被囚禁的薩特# 1x (3) 野性成長# 2x (4) 蔓生術# 2x (5) 夜行虎# 1x (5) 教師的寵物# 1x (5) 湖中蛇頸龍# 1x (5) 阿努比薩斯防衛者# 2x (7) 大力士# 1x (7) 洪流# 1x (8) 守護獸# 1x (9) 『破夢者』伊瑟拉# 2x (9) 狂歡小丑# 1x (9) 薩索瓦爾# 1x (10) 『命運主宰』尤格薩倫# 2x (10) 適者生存# AAECAZICDv4B5AjvogPbpQP2rQP9tgOSzQOVzQO80AOT0QPw1AOd2AOJ4APR4QMIuZQD5LoD6LoDm84DutAD3tED/tsD5uEDAA==# # 想要使用這副套牌的話，先複製它，然後在爐石戰記中建立一副新的套牌,### 自訂法師# 職業：法師# 規則：標準# 鳳凰年## 1x (1) 智力魔典# 1x (1) 符能學研讀# 1x (1) 能量之泉# 1x (1) 退化魔彈# 1x (2) 咒法之流# 1x (2) 失心套牌# 2x (2) 寒冰箭# 1x (2) 巫士的學徒# 2x (2) 星占者# 1x (2) 星術師索拉瑞恩# 2x (3) 傳信烏鴉# 2x (3) 冰霜新星# 2x (3) 火烙者# 2x (3) 秘法智力# 1x (3) 雕沙者# 1x (4) 水元素# 2x (4) 火球術# 1x (6) 暴風雪# 1x (7) 烈焰風暴# 1x (8) 托爾托朝聖者# 1x (10) 『分裂者』克蘇恩# 1x (10) 『命運主宰』尤格薩倫# 1x (10) 尤格薩倫的解謎箱# AAECAf0EEIsDyQPmBOwHppgDwqEDi6QDiKkDwbgDjLkDjbsD4MwDzc4DndgDv+ADk+EDB7sCqwTLBJYF55UD97gD+MwDAA==# # 想要使用這副套牌的話，先複製它，然後在爐石戰記中建立一副新的套牌
5fdcfeacaffbb17464342433,1_Cassia#31875,AAECAaPLAwYc3q0DwLkD48wDk9ADgeQDDBaQA9QE3KkD3a0DpLYDq7YDu7kDnLsDkdAD99QDtd4DAA==,### 나만의 마법사 덱 # 직업: 마법사# 대전 방식: 정규# 불사조의 해## 2x (1) 두뇌 빙결# 2x (1) 서리 광선# 2x (1) 신기한 마술# 2x (1) 신비한 화살# 2x (1) 태고학 탐구# 2x (1) 퇴화의 화살# 2x (1) 환영 복제# 2x (2) 마나빵 창조# 2x (2) 마술사의 수습생# 2x (2) 벼락치기# 2x (2) 얼음 화살# 2x (2) 주문술사의 흐름# 1x (2) 환기# 2x (3) 신비한 지능# 1x (5) 결투의 대가 모자키# 2x (6) 가젯잔 경매인# AAECAbTqAwLFuAOSywMOqwS0BOYElgWkB7wIn5sD/50DwbgD4MwDx84Dzc4D99EDheQDAA==# # 이 덱을 사용하려면 클립보드에 복사한 후 하스스톤에서 새로운 덱을 만드세요.,### 나만의 성기사 덱 # 직업: 성기사# 대전 방식: 정규# 불사조의 해## 2x (1) 살아 움직이는 빗자루# 1x (1) 예지의 구슬# 2x (2) 꽃게 기수# 2x (2) 마법봉 제작자# 2x (2) 붉은비늘 용조련사# 1x (2) 아오욿 아옳으엃# 1x (3) 군주 바로브# 2x (3) 멀록 전투대장# 2x (3) 미명 낚싯대# 1x (4) 고위 수녀원장 알루라# 2x (4) 비린내 나는 비행사# 2x (4) 서커스 융합체# 1x (4) 시간의 지배자 노즈도르무# 2x (8) 전세 역전이다옳# 2x (9) 축제 광대# 2x (10) 고철장 거수# 1x (10) 다크문 토끼# 1x (10) 심연의 신 느조스# 1x (10) 파멸자 이샤라즈# AAECAYsWCIetA/y4A4/OA5PQA8PRA5vYA/zeA73hAwunCJupA/u4A/O7A5XNA/7RA4fUA/7bA/neA/TfA5HkAwA=# # 이 덱을 사용하려면 클립보드에 복사한 후 하스스톤에서 새로운 덱을 만드세요.
